"ID1","DateTime","TempC","TempF","ID"
93,"2013-01-12 15:00:37",4.376,39.87616990640749,100
94,"2013-01-12 15:15:37",4.402,39.92296616270698,100
95,"2013-01-12 15:30:37",4.428,39.96976241900648,100
96,"2013-01-12 15:45:37",4.454,40.01655867530597,100
97,"2013-01-12 16:00:37",4.428,39.96976241900648,100
98,"2013-01-12 16:15:37",4.402,39.92296616270698,100
99,"2013-01-12 16:30:37",4.428,39.96976241900648,100
100,"2013-01-12 16:45:37",4.454,40.01655867530597,100
101,"2013-01-12 17:00:37",4.454,40.01655867530597,100
102,"2013-01-12 17:15:37",4.454,40.01655867530597,100
103,"2013-01-12 17:30:37",4.48,40.06335493160547,100
104,"2013-01-12 17:45:37",4.48,40.06335493160547,100
105,"2013-01-12 18:00:37",4.48,40.06335493160547,100
106,"2013-01-12 18:15:37",4.48,40.06335493160547,100
107,"2013-01-12 18:30:37",4.506,40.11015118790497,100
108,"2013-01-12 18:45:37",4.48,40.06335493160547,100
109,"2013-01-12 19:00:37",4.558,40.20374370050396,100
110,"2013-01-12 19:15:37",4.584,40.25053995680346,100
111,"2013-01-12 19:30:37",4.584,40.25053995680346,100
112,"2013-01-12 19:45:37",4.532,40.15694744420446,100
113,"2013-01-12 20:00:37",4.506,40.11015118790497,100
114,"2013-01-12 20:15:37",4.532,40.15694744420446,100
115,"2013-01-12 20:30:37",4.506,40.11015118790497,100
116,"2013-01-12 20:45:37",4.558,40.20374370050396,100
117,"2013-01-12 21:00:37",4.558,40.20374370050396,100
118,"2013-01-12 21:15:37",4.558,40.20374370050396,100
119,"2013-01-12 21:30:37",4.558,40.20374370050396,100
120,"2013-01-12 21:45:37",4.558,40.20374370050396,100
121,"2013-01-12 22:00:37",4.558,40.20374370050396,100
122,"2013-01-12 22:15:37",4.532,40.15694744420446,100
123,"2013-01-12 22:30:37",4.532,40.15694744420446,100
124,"2013-01-12 22:45:37",4.532,40.15694744420446,100
125,"2013-01-12 23:00:37",4.532,40.15694744420446,100
126,"2013-01-12 23:15:37",4.532,40.15694744420446,100
127,"2013-01-12 23:30:37",4.532,40.15694744420446,100
128,"2013-01-12 23:45:37",4.532,40.15694744420446,100
129,"2013-01-13 00:00:37",4.558,40.20374370050396,100
130,"2013-01-13 00:15:37",4.558,40.20374370050396,100
131,"2013-01-13 00:30:37",4.558,40.20374370050396,100
132,"2013-01-13 00:45:37",4.558,40.20374370050396,100
133,"2013-01-13 01:00:37",4.532,40.15694744420446,100
134,"2013-01-13 01:15:37",4.532,40.15694744420446,100
135,"2013-01-13 01:30:37",4.532,40.15694744420446,100
136,"2013-01-13 01:45:37",4.532,40.15694744420446,100
137,"2013-01-13 02:00:37",4.532,40.15694744420446,100
138,"2013-01-13 02:15:37",4.532,40.15694744420446,100
139,"2013-01-13 02:30:37",4.532,40.15694744420446,100
140,"2013-01-13 02:45:37",4.532,40.15694744420446,100
141,"2013-01-13 03:00:37",4.532,40.15694744420446,100
142,"2013-01-13 03:15:37",4.506,40.11015118790497,100
143,"2013-01-13 03:30:37",4.506,40.11015118790497,100
144,"2013-01-13 03:45:37",4.532,40.15694744420446,100
145,"2013-01-13 04:00:37",4.532,40.15694744420446,100
146,"2013-01-13 04:15:37",4.532,40.15694744420446,100
147,"2013-01-13 04:30:37",4.506,40.11015118790497,100
148,"2013-01-13 04:45:37",4.506,40.11015118790497,100
149,"2013-01-13 05:00:37",4.506,40.11015118790497,100
150,"2013-01-13 05:15:37",4.506,40.11015118790497,100
151,"2013-01-13 05:30:37",4.532,40.15694744420446,100
152,"2013-01-13 05:45:37",4.532,40.15694744420446,100
153,"2013-01-13 06:00:37",4.558,40.20374370050396,100
154,"2013-01-13 06:15:37",4.532,40.15694744420446,100
155,"2013-01-13 06:30:37",4.558,40.20374370050396,100
156,"2013-01-13 06:45:37",4.532,40.15694744420446,100
157,"2013-01-13 07:00:37",4.532,40.15694744420446,100
158,"2013-01-13 07:15:37",4.558,40.20374370050396,100
159,"2013-01-13 07:30:37",4.558,40.20374370050396,100
160,"2013-01-13 07:45:37",4.558,40.20374370050396,100
161,"2013-01-13 08:00:37",4.558,40.20374370050396,100
162,"2013-01-13 08:15:37",4.558,40.20374370050396,100
163,"2013-01-13 08:30:37",4.61,40.29733621310295,100
164,"2013-01-13 08:45:37",4.662,40.39092872570194,100
165,"2013-01-13 09:00:37",4.636,40.34413246940245,100
166,"2013-01-13 09:15:37",4.532,40.15694744420446,100
167,"2013-01-13 09:30:37",4.558,40.20374370050396,100
168,"2013-01-13 09:45:37",4.558,40.20374370050396,100
169,"2013-01-13 10:00:37",4.558,40.20374370050396,100
170,"2013-01-13 10:15:37",4.584,40.25053995680346,100
171,"2013-01-13 10:30:37",4.584,40.25053995680346,100
172,"2013-01-13 10:45:37",4.584,40.25053995680346,100
173,"2013-01-13 11:00:37",4.584,40.25053995680346,100
174,"2013-01-13 11:15:37",4.584,40.25053995680346,100
175,"2013-01-13 11:30:37",4.61,40.29733621310295,100
176,"2013-01-13 11:45:37",4.61,40.29733621310295,100
177,"2013-01-13 12:00:37",4.61,40.29733621310295,100
178,"2013-01-13 12:15:37",4.61,40.29733621310295,100
179,"2013-01-13 12:30:37",4.61,40.29733621310295,100
180,"2013-01-13 12:45:37",4.61,40.29733621310295,100
181,"2013-01-13 13:00:37",4.61,40.29733621310295,100
182,"2013-01-13 13:15:37",4.61,40.29733621310295,100
183,"2013-01-13 13:30:37",4.61,40.29733621310295,100
184,"2013-01-13 13:45:37",4.61,40.29733621310295,100
185,"2013-01-13 14:00:37",4.61,40.29733621310295,100
186,"2013-01-13 14:15:37",4.61,40.29733621310295,100
187,"2013-01-13 14:30:37",4.61,40.29733621310295,100
188,"2013-01-13 14:45:37",4.61,40.29733621310295,100
189,"2013-01-13 15:00:37",4.61,40.29733621310295,100
190,"2013-01-13 15:15:37",4.61,40.29733621310295,100
191,"2013-01-13 15:30:37",4.61,40.29733621310295,100
192,"2013-01-13 15:45:37",4.61,40.29733621310295,100
193,"2013-01-13 16:00:37",4.61,40.29733621310295,100
194,"2013-01-13 16:15:37",4.61,40.29733621310295,100
195,"2013-01-13 16:30:37",4.61,40.29733621310295,100
196,"2013-01-13 16:45:37",4.61,40.29733621310295,100
197,"2013-01-13 17:00:37",4.636,40.34413246940245,100
198,"2013-01-13 17:15:37",4.61,40.29733621310295,100
199,"2013-01-13 17:30:37",4.61,40.29733621310295,100
200,"2013-01-13 17:45:37",4.61,40.29733621310295,100
201,"2013-01-13 18:00:37",4.61,40.29733621310295,100
202,"2013-01-13 18:15:37",4.61,40.29733621310295,100
203,"2013-01-13 18:30:37",4.61,40.29733621310295,100
204,"2013-01-13 18:45:37",4.61,40.29733621310295,100
205,"2013-01-13 19:00:37",4.61,40.29733621310295,100
206,"2013-01-13 19:15:37",4.61,40.29733621310295,100
207,"2013-01-13 19:30:37",4.61,40.29733621310295,100
208,"2013-01-13 19:45:37",4.636,40.34413246940245,100
209,"2013-01-13 20:00:37",4.636,40.34413246940245,100
210,"2013-01-13 20:15:37",4.636,40.34413246940245,100
211,"2013-01-13 20:30:37",4.636,40.34413246940245,100
212,"2013-01-13 20:45:37",4.636,40.34413246940245,100
213,"2013-01-13 21:00:37",4.636,40.34413246940245,100
214,"2013-01-13 21:15:37",4.636,40.34413246940245,100
215,"2013-01-13 21:30:37",4.636,40.34413246940245,100
216,"2013-01-13 21:45:37",4.61,40.29733621310295,100
217,"2013-01-13 22:00:37",4.636,40.34413246940245,100
218,"2013-01-13 22:15:37",4.636,40.34413246940245,100
219,"2013-01-13 22:30:37",4.636,40.34413246940245,100
220,"2013-01-13 22:45:37",4.636,40.34413246940245,100
221,"2013-01-13 23:00:37",4.636,40.34413246940245,100
222,"2013-01-13 23:15:37",4.636,40.34413246940245,100
223,"2013-01-13 23:30:37",4.636,40.34413246940245,100
224,"2013-01-13 23:45:37",4.636,40.34413246940245,100
225,"2013-01-14 00:00:37",4.636,40.34413246940245,100
226,"2013-01-14 00:15:37",4.662,40.39092872570194,100
227,"2013-01-14 00:30:37",4.662,40.39092872570194,100
228,"2013-01-14 00:45:37",4.662,40.39092872570194,100
229,"2013-01-14 01:00:37",4.662,40.39092872570194,100
230,"2013-01-14 01:15:37",4.662,40.39092872570194,100
231,"2013-01-14 01:30:37",4.662,40.39092872570194,100
232,"2013-01-14 01:45:37",4.662,40.39092872570194,100
233,"2013-01-14 02:00:37",4.636,40.34413246940245,100
234,"2013-01-14 02:15:37",4.636,40.34413246940245,100
235,"2013-01-14 02:30:37",4.636,40.34413246940245,100
236,"2013-01-14 02:45:37",4.662,40.39092872570194,100
237,"2013-01-14 03:00:37",4.662,40.39092872570194,100
238,"2013-01-14 03:15:37",4.662,40.39092872570194,100
239,"2013-01-14 03:30:37",4.662,40.39092872570194,100
240,"2013-01-14 03:45:37",4.662,40.39092872570194,100
241,"2013-01-14 04:00:37",4.662,40.39092872570194,100
242,"2013-01-14 04:15:37",4.662,40.39092872570194,100
243,"2013-01-14 04:30:37",4.662,40.39092872570194,100
244,"2013-01-14 04:45:37",4.688,40.43772498200144,100
245,"2013-01-14 05:00:37",4.688,40.43772498200144,100
246,"2013-01-14 05:15:37",4.688,40.43772498200144,100
247,"2013-01-14 05:30:37",4.688,40.43772498200144,100
248,"2013-01-14 05:45:37",4.688,40.43772498200144,100
249,"2013-01-14 06:00:37",4.688,40.43772498200144,100
250,"2013-01-14 06:15:37",4.688,40.43772498200144,100
251,"2013-01-14 06:30:37",4.688,40.43772498200144,100
252,"2013-01-14 06:45:37",4.714,40.48452123830094,100
253,"2013-01-14 07:00:37",4.714,40.48452123830094,100
254,"2013-01-14 07:15:37",4.714,40.48452123830094,100
255,"2013-01-14 07:30:37",4.714,40.48452123830094,100
256,"2013-01-14 07:45:37",4.714,40.48452123830094,100
257,"2013-01-14 08:00:37",4.74,40.53131749460043,100
258,"2013-01-14 08:15:37",4.74,40.53131749460043,100
259,"2013-01-14 08:30:37",4.74,40.53131749460043,100
260,"2013-01-14 08:45:37",4.74,40.53131749460043,100
261,"2013-01-14 09:00:37",4.74,40.53131749460043,100
262,"2013-01-14 09:15:37",4.766,40.57811375089993,100
263,"2013-01-14 09:30:37",4.766,40.57811375089993,100
264,"2013-01-14 09:45:37",4.766,40.57811375089993,100
265,"2013-01-14 10:00:37",4.714,40.48452123830094,100
266,"2013-01-14 10:15:37",4.662,40.39092872570194,100
267,"2013-01-14 10:30:37",4.662,40.39092872570194,100
268,"2013-01-14 10:45:37",4.662,40.39092872570194,100
269,"2013-01-14 11:00:37",4.688,40.43772498200144,100
270,"2013-01-14 11:15:37",4.714,40.48452123830094,100
271,"2013-01-14 11:30:37",4.714,40.48452123830094,100
272,"2013-01-14 11:45:37",4.714,40.48452123830094,100
273,"2013-01-14 12:00:37",4.714,40.48452123830094,100
274,"2013-01-14 12:15:37",4.714,40.48452123830094,100
275,"2013-01-14 12:30:37",4.714,40.48452123830094,100
276,"2013-01-14 12:45:37",4.74,40.53131749460043,100
277,"2013-01-14 13:00:37",4.74,40.53131749460043,100
278,"2013-01-14 13:15:37",4.74,40.53131749460043,100
279,"2013-01-14 13:30:37",4.74,40.53131749460043,100
280,"2013-01-14 13:45:37",4.74,40.53131749460043,100
281,"2013-01-14 14:00:37",4.766,40.57811375089993,100
282,"2013-01-14 14:15:37",4.766,40.57811375089993,100
283,"2013-01-14 14:30:37",4.766,40.57811375089993,100
284,"2013-01-14 14:45:37",4.766,40.57811375089993,100
285,"2013-01-14 15:00:37",4.766,40.57811375089993,100
286,"2013-01-14 15:15:37",4.766,40.57811375089993,100
287,"2013-01-14 15:30:37",4.766,40.57811375089993,100
288,"2013-01-14 15:45:37",4.766,40.57811375089993,100
289,"2013-01-14 16:00:37",4.766,40.57811375089993,100
290,"2013-01-14 16:15:37",4.766,40.57811375089993,100
291,"2013-01-14 16:30:37",4.766,40.57811375089993,100
292,"2013-01-14 16:45:37",4.766,40.57811375089993,100
293,"2013-01-14 17:00:37",4.766,40.57811375089993,100
294,"2013-01-14 17:15:37",4.74,40.53131749460043,100
295,"2013-01-14 17:30:37",4.688,40.43772498200144,100
296,"2013-01-14 17:45:37",4.714,40.48452123830094,100
297,"2013-01-14 18:00:37",4.688,40.43772498200144,100
298,"2013-01-14 18:15:37",4.688,40.43772498200144,100
299,"2013-01-14 18:30:37",4.662,40.39092872570194,100
300,"2013-01-14 18:45:37",4.662,40.39092872570194,100
301,"2013-01-14 19:00:37",4.688,40.43772498200144,100
302,"2013-01-14 19:15:37",4.688,40.43772498200144,100
303,"2013-01-14 19:30:37",4.688,40.43772498200144,100
304,"2013-01-14 19:45:37",4.688,40.43772498200144,100
305,"2013-01-14 20:00:37",4.688,40.43772498200144,100
306,"2013-01-14 20:15:37",4.688,40.43772498200144,100
307,"2013-01-14 20:30:37",4.714,40.48452123830094,100
308,"2013-01-14 20:45:37",4.688,40.43772498200144,100
309,"2013-01-14 21:00:37",4.714,40.48452123830094,100
310,"2013-01-14 21:15:37",4.636,40.34413246940245,100
311,"2013-01-14 21:30:37",4.688,40.43772498200144,100
312,"2013-01-14 21:45:37",4.558,40.20374370050396,100
313,"2013-01-14 22:00:37",4.688,40.43772498200144,100
314,"2013-01-14 22:15:37",4.688,40.43772498200144,100
315,"2013-01-14 22:30:37",4.714,40.48452123830094,100
316,"2013-01-14 22:45:37",4.688,40.43772498200144,100
317,"2013-01-14 23:00:37",4.688,40.43772498200144,100
318,"2013-01-14 23:15:37",4.688,40.43772498200144,100
319,"2013-01-14 23:30:37",4.688,40.43772498200144,100
320,"2013-01-14 23:45:37",4.662,40.39092872570194,100
321,"2013-01-15 00:00:37",4.506,40.11015118790497,100
322,"2013-01-15 00:15:37",4.376,39.87616990640749,100
323,"2013-01-15 00:30:37",4.428,39.96976241900648,100
324,"2013-01-15 00:45:37",4.48,40.06335493160547,100
325,"2013-01-15 01:00:37",4.506,40.11015118790497,100
326,"2013-01-15 01:15:37",4.506,40.11015118790497,100
327,"2013-01-15 01:30:37",4.558,40.20374370050396,100
