Date Time	Temperature   (*C)
07/02/02 18:49:55.0	20.08
07/02/02 19:04:55.0	18.95
07/02/02 19:19:55.0	18.63
07/02/02 19:34:55.0	18.63
07/02/02 19:49:55.0	18.47
07/02/02 20:04:55.0	18.47
07/02/02 20:19:55.0	18.47
07/02/02 20:34:55.0	18.47
07/02/02 20:49:55.0	18.63
07/02/02 21:04:55.0	18.63
07/02/02 21:19:55.0	18.63
07/02/02 21:34:55.0	18.63
07/02/02 21:49:55.0	18.63
07/02/02 22:04:55.0	18.63
07/02/02 22:19:55.0	18.63
07/02/02 22:34:55.0	18.63
07/02/02 22:49:55.0	18.47
07/02/02 23:04:55.0	18.47
07/02/02 23:19:55.0	18.47
07/02/02 23:34:55.0	18.47
07/02/02 23:49:55.0	18.47
07/03/02 00:04:55.0	18.47
07/03/02 00:19:55.0	18.31
07/03/02 00:34:55.0	18.47
07/03/02 00:49:55.0	18.31
07/03/02 01:04:55.0	18.31
07/03/02 01:19:55.0	18.31
07/03/02 01:34:55.0	18.31
07/03/02 01:49:55.0	18.31
07/03/02 02:04:55.0	18.31
07/03/02 02:19:55.0	18.14
07/03/02 02:34:55.0	18.14
07/03/02 02:49:55.0	18.14
07/03/02 03:04:55.0	18.14
07/03/02 03:19:55.0	17.98
07/03/02 03:34:55.0	17.98
07/03/02 03:49:55.0	17.98
07/03/02 04:04:55.0	17.98
07/03/02 04:19:55.0	17.98
07/03/02 04:34:55.0	17.98
07/03/02 04:49:55.0	17.82
07/03/02 05:04:55.0	17.82
07/03/02 05:19:55.0	17.82
07/03/02 05:34:55.0	17.82
07/03/02 05:49:55.0	17.82
07/03/02 06:04:55.0	17.66
07/03/02 06:19:55.0	17.66
07/03/02 06:34:55.0	17.66
07/03/02 06:49:55.0	17.66
07/03/02 07:04:55.0	17.66
07/03/02 07:19:55.0	17.66
07/03/02 07:34:55.0	17.5
07/03/02 07:49:55.0	17.5
07/03/02 08:04:55.0	17.5
07/03/02 08:19:55.0	17.5
07/03/02 08:34:55.0	17.5
07/03/02 08:49:55.0	17.5
07/03/02 09:04:55.0	17.5
07/03/02 09:19:55.0	17.5
07/03/02 09:34:55.0	17.5
07/03/02 09:49:55.0	17.5
07/03/02 10:04:55.0	17.34
07/03/02 10:19:55.0	17.34
07/03/02 10:34:55.0	17.34
07/03/02 10:49:55.0	17.34
07/03/02 11:04:55.0	17.34
07/03/02 11:19:55.0	17.34
07/03/02 11:34:55.0	17.34
07/03/02 11:49:55.0	17.34
07/03/02 12:04:55.0	17.5
07/03/02 12:19:55.0	17.5
07/03/02 12:34:55.0	17.66
07/03/02 12:49:55.0	17.66
07/03/02 13:04:55.0	17.82
07/03/02 13:19:55.0	17.82
07/03/02 13:34:55.0	17.82
07/03/02 13:49:55.0	17.82
07/03/02 14:04:55.0	17.82
07/03/02 14:19:55.0	17.82
07/03/02 14:34:55.0	17.98
07/03/02 14:49:55.0	17.98
07/03/02 15:04:55.0	17.98
07/03/02 15:19:55.0	17.98
07/03/02 15:34:55.0	17.98
07/03/02 15:49:55.0	17.98
07/03/02 16:04:55.0	17.98
07/03/02 16:19:55.0	17.98
07/03/02 16:34:55.0	17.98
07/03/02 16:49:55.0	18.14
07/03/02 17:04:55.0	18.14
07/03/02 17:19:55.0	18.14
07/03/02 17:34:55.0	18.14
07/03/02 17:49:55.0	17.34
07/03/02 18:04:55.0	16.38
07/03/02 18:19:55.0	14.96
07/03/02 18:34:55.0	13.25
07/03/02 18:49:55.0	14.18
07/03/02 19:04:55.0	16.54
07/03/02 19:19:55.0	16.38
